,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
skill/Bonehowl/name,,»ÀÀÇ ¿ïÀ½,Bone Scream,ÍéªÎÙ°ª­,ÍéñıÍÖëè,ÍéÔéîÜÍÖá¢,Knochenschrei,Grito oseo,Grito do osso,¬¬¬à¬ã¬ä¬ñ¬ß¬à¬Û ¬Ü¬İ¬Ú¬é,Krzyk ko?ci,Cri d'ossements
skill/Bonehowl/desc,,Æ÷È¿ÇÏ¿© [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈ÷°í 10ÃÊ°£ °ø°İ¼Óµµ°¡ 100% Áõ°¡ÇÕ´Ï´Ù.,"Lets out a war cry, dealing [copd]Physical damage[cc] and increasing Attack Speed by 100% for 10 seconds.",øÓüöª·ªÆ[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£ªŞª¿¡¢10õ©ÊàÍô?áÜÓøª¬100%?Ê¥ª·ªŞª¹¡£,?õóøÓüöğãà÷[copd]Úª×â?úª[cc]?ñòÊ¥100%Íô?áÜÓø£¬ò¥?10õ©¡£,øÓüöğãà÷[copd]Úª×âß¿úª[cc]£¬10õ©Ñ¢ÊàÍôÌªáÜÓøñòÊ¥100%¡£,"Sto©¬t einen Kriegsruf aus, der [comd]Magieschaden[cc] verursacht und das Angriffstempo fur 8 Sekunden um 100 % erhoht.","Lanza un grito de guerra, inflige [copd]dano fisico[cc] y aumenta la velocidad de ataque un 100 % durante 10 segundos.",Solta um grito de guerra causando [copd]danos fisicos[cc] e aumentando a velocidade de ataque em 100% por 10 segundos.,"¬ª¬ã¬á¬å¬ã¬Ü¬Ñ¬Ö¬ä ¬Ò¬à¬Ö¬Ó¬à¬Û ¬Ü¬İ¬Ú¬é, ¬Ü¬à¬ä¬à¬â¬í¬Û ¬ß¬Ñ¬ß¬à¬ã¬Ú¬ä [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc] ¬Ú ¬á¬à¬Ó¬í¬ê¬Ñ¬Ö¬ä ¬ã¬Ü¬à¬â¬à¬ã¬ä¬î ¬Ñ¬ä¬Ñ¬Ü¬Ú ¬ß¬Ñ 100% ¬Ó ¬ä¬Ö¬é¬Ö¬ß¬Ú¬Ö 10 ¬ã¬Ö¬Ü¬å¬ß¬Õ.","Wznosi okrzyk bojowy, zadaj?c [copd]obra?e? fizycznych[cc], i podnosi pr?dko?? ataku o 100% na 10 sekund.",Lance un cri de guerre qui inflige des [copd]degats physiques[cc] et augmente la vitesse d'attaque de 100 % pendant 10 secondes.
skill/MadRush/name,,¸Åµå·¯½Ã,Mad Rush,«Ş«Ã«É«é«Ã«·«å,?ÎÊ??,?ÎÊõúí©,Wahnsinniger Ansturm,Carrera furiosa,Corrida louca,¬¢¬Ö¬Ù¬å¬Ş¬ß¬í¬Û ¬Ò¬â¬à¬ã¬à¬Ü,W?ciek©©y po?piech,Ruee folle
skill/MadRush/desc,,Àü¹æÀ¸·Î ³ª¾Æ°¡¸ç Áö¸éÀ» 2È¸ ³»·ÁÂïÀº µÚ Á¡ÇÁÇØ ³»·ÁÂï¾î [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈü´Ï´Ù.,"Advances and performs 2 consecutive downward slash attacks, followed by a jumping slash attack, dealing [copd]Physical damage[cc].",îñÛ°ªËòäªßªÊª¬ªéò¢Øüªò2üŞÔÍª­ù»ªíª·ª¿ı­¡¢«¸«ã«ó«×ª·ªÆª«ªéÔÍª­ù»ªíª·ªÆ[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£,ú¾îñì¹?ù»Ûù2ó­ò¢Øü£¬æÔı¨Ô¯?ù»Ûùğãà÷[copd]Úª×â?úª[cc]¡£,ú¾îñ?Ìªò¢Øü2ó­ı­£¬Ô¯å¸î¢Õªò¢?Ìª£¬ğãà÷[copd]Úª×âß¿úª[cc]¡£,"Ruckt vor und fuhrt nacheinander 2 Hiebangriffe nach unten aus, die von einem Angriff mit Sprunghieb gefolgt sind und [copd]physischen Schaden[cc] verursachen.",Avanza y realiza 2 cortes descendentes consecutivos seguidos de un corte con salto. Inflige [copd]dano fisico[cc].,"Avanca e executa 2 ataques de corte para baixo consecutivos, seguidos de um ataque de corte em salto causando [copd]danos fisicos[cc].","¬¢¬â¬à¬ã¬Ñ¬Ö¬ä¬ã¬ñ ¬Ó¬á¬Ö¬â¬Ö¬Õ ¬Ú ¬Ó¬í¬á¬à¬İ¬ß¬ñ¬Ö¬ä 2 ¬á¬à¬ã¬İ¬Ö¬Õ¬à¬Ó¬Ñ¬ä¬Ö¬İ¬î¬ß¬í¬ç ¬â¬å¬Ò¬ñ¬ë¬Ú¬ç ¬å¬Õ¬Ñ¬â¬Ñ ¬ã¬Ó¬Ö¬â¬ç¬å ¬Ó¬ß¬Ú¬Ù, ¬Ñ ¬Ù¬Ñ¬ä¬Ö¬Ş ¬â¬å¬Ò¬ñ¬ë¬Ú¬Û ¬å¬Õ¬Ñ¬â ¬Ó ¬á¬â¬í¬Ø¬Ü¬Ö. ¬¯¬Ñ¬ß¬à¬ã¬Ú¬ä [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc].","Zbli?a si? i wykonuje dwa kolejne ataki ci?cia, nast?pnie atak ci?cia z wyskoku, zadaj?c [copd]obra?enia fizyczne[cc].","Avance et effectue 2 attaques tranchantes descendantes consecutives, suivies d'une attaque sautee qui infligent des [copd]degats physiques[cc]."
skill/BerserkerTackle/name,,·¹ÀÌÁö ÅÂÅ¬,Rage Tackle,«ì«¤«¸«¿«Ã«¯«ë,øìÒÁ?ï¸,ÎÊøìÓÕÌª,Wutgratsche,Placaje furibundo,Confronto de raiva,¬Á¬â¬à¬ã¬ä¬ß¬í¬Û ¬ß¬Ñ¬ä¬Ú¬ã¬Ü,W?ciek©©y poskromiciel,Tacle enrage
skill/BerserkerTackle/desc,,µ¹ÁøÇÏ¿© ÀûÀ» ÀÚ½ÅÀÇ ¾ÕÀ¸·Î ¹ĞÃÄ³½ µÚ ³»·ÁÂï¾î [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈü´Ï´Ù.,"Charges forward and pushes enemies away, then performs a downward slash attack, dealing [copd]Physical damage[cc].",îñÛ°ªËÔÍòäª·ªÆîØªò«×«ì«¤«ä?ªÎîñªËÔÍª­Ş«ªĞª·ª¿ı­¡¢ÔÍª­ù»ªíª·ªÆ[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£,ÔÍ???ìÑõÏ??ù»Ûùğãà÷[copd]Úª×â?úª[cc]¡£,Øíõú?íâîØìÑõÏÓğí»ĞùØüîñı­Õªò¢?Ìª£¬ğãà÷[copd]Úª×âß¿úª[cc]¡£,"Sturmt vorwarts, drangt Gegner weg und fuhrt dabei einen Hiebangriff nach unten aus, der [copd]physischen Schaden[cc] verursacht.","Carga hacia delante y empuja a los enemigos, luego realiza un corte descendente que inflige [copd]dano fisico[cc].","Carrega para diante e afasta os inimigos, em seguida executa um ataque de corte para baixo causando [copd]danos fisicos[cc].","¬¢¬â¬à¬ã¬Ñ¬Ö¬ä¬ã¬ñ ¬Ó¬á¬Ö¬â¬Ö¬Õ ¬Ú ¬à¬ä¬ä¬Ñ¬İ¬Ü¬Ú¬Ó¬Ñ¬Ö¬ä ¬Ó¬â¬Ñ¬Ô¬à¬Ó, ¬Ù¬Ñ¬ä¬Ö¬Ş ¬Ó¬í¬á¬à¬İ¬ß¬ñ¬Ö¬ä ¬â¬å¬Ò¬ñ¬ë¬Ú¬Û ¬å¬Õ¬Ñ¬â ¬ã¬Ó¬Ö¬â¬ç¬å ¬Ó¬ß¬Ú¬Ù ¬Ú ¬ß¬Ñ¬ß¬à¬ã¬Ú¬ä [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc].","Naciera i spycha wrogow, nast?pnie wykonuje atak ci?cia w do©©, zadaj?c [copd]obra?enia fizyczne[cc].","Charge et percute les ennemis, puis effectue une attaque tranchante descendante qui inflige des [copd]degats physiques[cc]."
# Berserker_2,,,,,,,,,,,,
weapon/Berserker_2/name,,µ¥ºô ¹ö¼­Ä¿,Devil Berserker,«Ç«Ó«ë«Ğ?«µ?««?,?ØªÎÊ?ŞÍ,äÂØªÎÊîúŞÍ,Teufelsberserker,Berserker diabolico,Berserker demonio,¬¥¬î¬ñ¬Ó¬à¬İ¬î¬ã¬Ü¬Ú¬Û ¬Ò¬Ö¬â¬ã¬Ö¬â¬Ü,Diabelski berserker,Berserker diabolique
weapon/Berserker_2/desc,,"ÀÌ ½ºÄÃÀº ½ºÅ³ '¾Ç¸¶ÀÇ »À'¸¦ ¹İµå½Ã °®½À´Ï´Ù.\nÀÒÀº Ã¼·Â¿¡ ºñ·ÊÇÏ¿© [copd]¹°¸®°ø°İ·Â[cc]ÀÌ ÃÖ´ë 80%±îÁö ÁõÆøµË´Ï´Ù.\nÇÇ°İ ½Ã 5ÃÊ°£ °ø°İ¼Óµµ°¡ 50% Áõ°¡ÇÕ´Ï´Ù.\nÅÂÅ¬: ´ë½¬ ½Ã °ø°İÆÇÁ¤, ¿¬¼Ó´ë½¬ ºÒ°¡","This skull always carries the 'Bone of the Devil' skill.\nBased on the amount of lost HP, amplifies [copd]Physical attack[cc] by up to 80%.\nWhen hit, increases Attack Speed by 50% for 5 seconds.\nTackle: Dashes are considered as attacks. Cannot dash consecutively.",ª³ªÎ«¹«««ëªÏù±ªº«¹«­«ë¡¸?ØªªÎÍé¡¹ªòÜÁêóª·ªŞª¹¡£\nã÷ªÃª¿HPªËİïÖÇª·ªÆ[copd]Úª×âÍô?Õô[cc]ª¬õÌÓŞ80%ªŞªÇ?øëª·ªŞª¹¡£\nªŞª¿¡¢Íô?ªòáôª±ªëªÈ5õ©ÊàÍô?áÜÓøª¬50%?Ê¥ª·ªŞª¹¡£\n«¿«Ã«¯«ë£º«À«Ã«·«åãÁªËÍô?÷÷ïÒ¡¢Ö§?«À«Ã«·«åÜôÊ¦¡£,ó®á³Íéí»?¡°?ØªñıÍé¡±ĞüÒö¡£\nĞÆËßã÷ËÛîÜ?Õô£¬[copd]Úª×âÍô?Õô[cc]õÌÓŞñòøë80%¡£\nù¬??Íô?áÜÓøñòÊ¥50%£¬ò¥?5õ©¡£\n?ï¸£ºòğ??êóÍô?÷÷ïÒ£¬ÜôÊ¦??ŞÅéÄòğ?¡£,ó®ÍµÍéù±ïÒè¶êó¡¸äÂØªÍéÔé¡¹ĞüÒö¡£\nİïğÎã÷ËÛîÜô÷Õô£¬[copd]Úª×âÍôÌªÕô[cc]õÌÒıñòøëò¸80%¡£\nğäáôÍôÌªãÁ£¬5õ©Ñ¢ÊàÍôÌªáÜÓøñòÊ¥50%¡£\nÓÕÌª£ºõúí©ãÁãÊ?ÍôÌª£¬ÙíÛöÖ§áÙõúí©,"Dieser Schadel tragt immer die Fertigkeit ?Knochen des Teufels¡°.\nBasierend auf der Menge der verlorenen LP wird der [copd]physische Angriff[cc] bis zu 80 % verstarkt.\nErhoht Angriffstempo fur 3 Sekunden um 50 %, wenn man getroffen wird.\nGratsche: Sprints werden als Angriffe gesehen. Hintereinander sprinten ist nicht moglich.","Esta calavera tiene la habilidad ¡ìHueso del diablo¡í.\nEl [copd]ataque fisico[cc] se amplifica hasta un 80 % segun la cantidad de PS perdidos.\nAl impactar, aumenta la velocidad de ataque un 50 % durante 5 segundos.\nPlacaje: Correr cuenta como ataque. No es posible correr varias veces seguidas.","Essa caveira carrega sempre a habilidade ¡°Osso do demonio¡±.\nCom base na quantidade de HP perdidos, amplifica o [copd]ataque fisico[cc] em ate 80%.\nQuando atingido, aumenta a velocidade de ataque em 50% por 5 segundos.\nEnfrentar: As corridas sao consideradas ataques. Nao pode correr consecutivamente.",¬µ ¬ï¬ä¬à¬Ô¬à ¬é¬Ö¬â¬Ö¬á¬Ñ ¬Ö¬ã¬ä¬î ¬á¬à¬ã¬ä¬à¬ñ¬ß¬ß¬í¬Û ¬ß¬Ñ¬Ó¬í¬Ü ¡ì¬¬¬à¬ã¬ä¬î ¬Õ¬î¬ñ¬Ó¬à¬İ¬Ñ¡í.\n¬£ ¬Ù¬Ñ¬Ó¬Ú¬ã¬Ú¬Ş¬à¬ã¬ä¬Ú ¬à¬ä ¬Ü¬à¬İ¬Ú¬é¬Ö¬ã¬ä¬Ó¬Ñ ¬á¬à¬ä¬Ö¬â¬ñ¬ß¬ß¬í¬ç ¬°¬© [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ñ¬ñ ¬Ñ¬ä¬Ñ¬Ü¬Ñ[cc] ¬Ş¬à¬Ø¬Ö¬ä ¬å¬Ó¬Ö¬İ¬Ú¬é¬Ú¬Ó¬Ñ¬ä¬î¬ã¬ñ ¬Ş¬Ñ¬Ü¬ã¬Ú¬Ş¬å¬Ş ¬ß¬Ñ 80%.\n¬±¬â¬Ú ¬á¬à¬İ¬å¬é¬Ö¬ß¬Ú¬Ú ¬å¬Õ¬Ñ¬â¬Ñ ¬ã¬Ü¬à¬â¬à¬ã¬ä¬î ¬Ñ¬ä¬Ñ¬Ü¬Ú ¬á¬à¬Ó¬í¬ê¬Ñ¬Ö¬ä¬ã¬ñ ¬ß¬Ñ 50% ¬Ó ¬ä¬Ö¬é¬Ö¬ß¬Ú¬Ö 5 ¬ã¬Ö¬Ü¬å¬ß¬Õ.\n¬¯¬Ñ¬ä¬Ú¬ã¬Ü: ¬â¬í¬Ó¬Ü¬Ú ¬ã¬é¬Ú¬ä¬Ñ¬ğ¬ä¬ã¬ñ ¬Ñ¬ä¬Ñ¬Ü¬Ñ¬Ş¬Ú. ¬¯¬Ö¬İ¬î¬Ù¬ñ ¬Õ¬Ö¬İ¬Ñ¬ä¬î ¬â¬í¬Ó¬Ü¬Ú ¬ß¬Ö¬á¬â¬Ö¬â¬í¬Ó¬ß¬à.,Ta czaszka zawsze posiada umiej?tno?? ?Diabelskiej ko?ci¡±.\nZale?nie od liczby wrogow w pobli?u wzmacnia [copd]atak fizyczny[cc] do 80%.\nPodczas zamiany podwy?sza pr?dko?? ruchu o 50% na 5 sekundy.\nUwaga: Zrywy s? traktowane jak ataki. Nie mo?na zrywa? si? raz za razem.,"Ce crane possede toujours la competence Ossements du diable.\nAmplifie l'[copd]attaque physique[cc] jusqu'a 80 % selon le nombre de PV perdus.\nQuand il est touche, sa vitesse d'attaque augmente de 50 % pendant 5 secondes.\nTacle : les sprints sont consideres comme des attaques et ne peuvent pas etre enchaines."
weapon/Berserker_2/flavor,,°­·ÂÇÑ ÈûÀ» À§ÇØ µ¹ÀÌÅ³ ¼ö ¾ø´Â °è¾àÀ» ¸Î¾ú´ø ±¤±âÀÇ Àü»ç,A mad warrior that made an unbreakable pact to gain immense power,?ÕôªÊÕôªÎª¿ªáªËö¢ªêÚ÷ª·ªÎªÄª«ªÊª¤Ìøå³ªòÌ¿ªóªÇª¤ª¿ÎÊ?ªÎ?ŞÍ,?Öõ?ö¢Ë­ÓŞÕôÕá??ÙéÛöØ¸üŞîÜÌø?îÜ?ÎÊ?ŞÍ,?ÖõÔğÓğ?ÓŞîÜÕôÕá£¬ì»Ø¡ù»ÙíÛöØ¸üŞîÜÌøå³îÜ?ÎÊîúŞÍ,"Ein wahnsinniger Krieger, der einen unzerbrechlichen Pakt einging, um gro©¬e Kraft zu erhalten",Un guerrero demente que hizo un pacto inquebrantable para lograr un poder increible.,Um guerreiro louco que fez um pacto inquebravel para ganhar imenso poder.,"¬¢¬Ö¬Ù¬å¬Ş¬ß¬í¬Û ¬Ó¬à¬Ú¬ß, ¬Ù¬Ñ¬Ü¬İ¬ğ¬é¬Ú¬Ó¬ê¬Ú¬Û ¬ß¬Ö¬â¬å¬ê¬Ú¬Ş¬í¬Û ¬Õ¬à¬Ô¬à¬Ó¬à¬â, ¬é¬ä¬à¬Ò¬í ¬à¬Ò¬â¬Ö¬ã¬ä¬Ú ¬à¬Ô¬â¬à¬Ş¬ß¬å¬ğ ¬ã¬Ú¬İ¬å","W?ciek©©y wojownik, ktory zawar©© nierozerwalny pakt, by zyska? niezwyk©©? moc",Un guerrier fou qui a conclu un pacte impossible a rompre pour obtenir un pouvoir immense
weapon/Berserker_2/active/name,,»ìÀ°°³½Ã,Commence the Carnage,ß¯×ÀËÒã·,?×À?ã·,ËÒã·ß¯×À,Beginne das Gemetzel,Que comience la carniceria,Inicio da carnificina,¬¯¬Ñ¬é¬Ñ¬İ¬à ¬â¬Ö¬Ù¬ß¬Ú,Rozpocznij rze?,Debut du carnage
weapon/Berserker_2/active/desc,,±³´ë ½Ã Àü¹æÀ¸·Î ¶Ù¾î¿Ã¶ó ³»·ÁÂïÀ¸¸ç ³ĞÀº Áö¸é¿¡ [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈ÷°í 5ÃÊ°£ [copd]¹°¸®°ø°İ·Â[cc]ÀÌ 50% Áõ°¡ÇÕ´Ï´Ù.,"When swapping, leaps into the air and performs a downward slash attack over a wide area, dealing [copd]Physical damage[cc] and increasing [copd]Physical attack[cc] by 50% for 5 seconds.",ÎßÓÛãÁ¡¢îñÛ°ªËŞ«ªÓß¾ª¬ªÃª¿ı­¡¢ÔÍª­ù»ªíª·ªÆ?Ûô?ªÎò¢ØüªË[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£ªŞª¿¡¢5õ©Êà[copd]Úª×âÍô?Õô[cc]ª¬50%?Ê¥ª·ªŞª¹¡£,ôğ??ú¾îñÛ°Ô¯ÑÃù»Ûù?ÓŞÛõ?ò¢Øüğãà÷[copd]Úª×â?úª[cc]?ñòÊ¥50%[copd]Úª×âÍô?Õô[cc]£¬ò¥?5õ©¡£,×ÇôğãÁ£¬ğÈîñÛ°ú¾ß¾Ô¯å¸?Õªò¢?Ìª£¬ÓßÎÆæ´ÛôêÌò¢Øüğãà÷[copd]Úª×âß¿úª[cc]£¬5õ©Ñ¢Êà[copd]Úª×âÍôÌªÕô[cc]ñòÊ¥50%¡£,"Springt beim Tauschen in die Luft und fuhrt einen Hiebangriff nach unten uber einen weiten Bereich aus, der [copd]physischen Schaden[cc] verursacht und den [copd]physischen Angriff[cc] fur 5 Sekunden um 50 % erhoht.","Al intercambiar, da un salto y realiza un corte descendente amplio que inflige [copd]dano fisico[cc] y aumenta el [copd]ataque fisico[cc] un 50 % durante 5 segundos.",Ao alternar salta no ar e realiza um ataque de corte para baixo sobre uma ampla area causando [copd]danos fisicos[cc] e aumentando o [copd]ataque fisico[cc] em 50% por 5 segundos.,"¬±¬â¬Ú ¬ã¬Ş¬Ö¬ß¬Ö ¬é¬Ö¬â¬Ö¬á¬Ñ ¬á¬à¬Õ¬á¬â¬í¬Ô¬Ú¬Ó¬Ñ¬Ö¬ä ¬Ú ¬Ó¬í¬á¬à¬İ¬ß¬ñ¬Ö¬ä ¬â¬å¬Ò¬ñ¬ë¬Ú¬Û ¬å¬Õ¬Ñ¬â ¬ã¬Ó¬Ö¬â¬ç¬å ¬Ó¬ß¬Ú¬Ù ¬á¬à ¬Ò¬à¬İ¬î¬ê¬à¬Û ¬á¬İ¬à¬ë¬Ñ¬Õ¬Ú, ¬ß¬Ñ¬ß¬à¬ã¬ñ [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc] ¬Ú ¬å¬Ó¬Ö¬İ¬Ú¬é¬Ú¬Ó¬Ñ¬ñ [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬å¬ğ ¬Ñ¬ä¬Ñ¬Ü¬å[cc] ¬ß¬Ñ 50% ¬Ó ¬ä¬Ö¬é¬Ö¬ß¬Ú¬Ö 5 ¬ã¬Ö¬Ü¬å¬ß¬Õ.","Podczas zamiany wznosi si? w powietrze i na du?ym obszarze wykonuje atak ci?cia do do©©u, zadaj?c [copd]obra?enia fizyczne[cc] i wzmacniaj?c [copd]atak fizyczny[cc] o 50% na 5 sekund.","Lors d'un echange, saute en l'air et porte une attaque tranchante descendante dans une large zone qui augmente l'[copd]attaque physique[cc] de 50 % pendant 5 secondes et inflige des [copd]degats physiques[cc]."
skill/MadAxe_2/name,,¸Åµå¾×½º,Mad Axe,«Ş«Ã«É«¢«Ã«¯«¹,?ÎÊ?İ¨,?İ¨,Wahnsinnige Axt,Hacha demente,Machado louco,¬¢¬Ö¬ê¬Ö¬ß¬í¬Û ¬ä¬à¬á¬à¬â,W?ciek©©y topor,Hache folle
skill/MadAxe_2/desc,,¶¥À» ³Ğ°Ô µÚÁı´Â °­·ÂÇÑ ³»·ÁÂï±â °ø°İÀ¸·Î [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈü´Ï´Ù.,"Performs a powerful downward slash attack over a wide area, dealing [copd]Physical damage[cc].",?Ûô?ªÎò¢ØüªòÜİª¹ªÛªÉ?ÕôªÊÔÍª­ù»ªíª·Íô?ªÇ[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£,ŞÅéÄË­Õôù»ÛùÍô???ÓŞÛõ?ò¢Øüğãà÷[copd]Úª×â?úª[cc]¡£,ì¤?ÜİÓŞø¸÷Ïò¢îÜ?Õô?Ìªğãà÷[copd]Úª×âß¿úª[cc]¡£,"Fuhrt einen machtigen Hiebangriff nach unten uber einen weiten Bereich aus, der [copd]physischen Schaden[cc] verursacht.",Realiza un corte descendente amplio y poderoso que inflige [copd]dano fisico[cc].,Realiza uma ataque de corte para baixo poderoso sobre uma ampla area causando [copd]danos fisicos[cc].,"¬£¬í¬á¬à¬İ¬ß¬ñ¬Ö¬ä ¬Ş¬à¬ë¬ß¬í¬Û ¬â¬å¬Ò¬ñ¬ë¬Ú¬Û ¬å¬Õ¬Ñ¬â ¬ã¬Ó¬Ö¬â¬ç¬å ¬Ó¬ß¬Ú¬Ù ¬á¬à ¬Ò¬à¬İ¬î¬ê¬à¬Û ¬á¬İ¬à¬ë¬Ñ¬Õ¬Ú, ¬ß¬Ñ¬ß¬à¬ã¬ñ [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc].","Na du?ym obszarze wykonuje mocarny atak ci?cia do do©©u, zadaj?c [copd]szkody fizyczne[cc].",Porte une attaque tranchante descendante dans une large zone qui inflige des [copd]degats physiques[cc].
skill/Bonehowl_2/name,,¾Ç¸¶ÀÇ »À,Bone of the Devil,?ØªªÎÍé,?ØªñıÍé,äÂØªÍéÔé,Knochen des Teufels,Hueso del diablo,Osso do demonio,¬¬¬à¬ã¬ä¬î ¬Õ¬î¬ñ¬Ó¬à¬İ¬Ñ,Diabelska ko??,Ossements du diable
skill/Bonehowl_2/desc,,ÇöÀç Ã¼·ÂÀÇ 10%¸¦ ¼Ò¸ğÇØ 20ÃÊ°£ ¾Ç¸¶·Î º¯ÇÏ¸ç ³ĞÀº ¹üÀ§ÀÇ Àû¿¡°Ô [copd]¹°¸®µ¥¹ÌÁö[cc]¸¦ ÀÔÈü´Ï´Ù.,"Consumes 10% of current HP to turn into a devil for 20 seconds, dealing [copd]Physical damage[cc] over a wide area.",úŞî¤ªÎHPªÎ10£¥ªòá¼ÙÄª·¡¢20õ©Êà?ØªªËªÊªêªŞª¹¡£ªŞª¿¡¢?Ûô?ªÎîØªË[copd]Úª×â«À«á?«¸[cc]ªò?ª¨ªŞª¹¡£,á¼ÙÄ?îñ?ÕôîÜ10%?ãó??Øªò¥?20õ©£¬?ÓŞÛõ??ìÑğãà÷[copd]Úª×â?úª[cc]¡£,á¼ÙÄÙÍîñô÷ÕôîÜ10%£¬20õ©Ñ¢ÊàÜ¨?äÂØª£¬ÓßÎÆæ´ÛôêÌîÜîØìÑğãà÷[copd]Úª×âß¿úª[cc]¡£,"Verbraucht 20 % des aktuellen LP um fur 20 Sekunden zum Teufel zu werden, der uber einen weiten Bereich [copd]physischen Schaden[cc] verursacht.",Consume el 10 % de los PS actuales para transformarse en un diablo durante 20 segundos. Inflige [copd]dano fisico[cc] en una zona amplia.,Consome 10% dos HP atuais para se transformar em demonio por 20 segundos causando [copd]danos fisicos[cc] sobre uma ampla area.,"¬´¬â¬Ñ¬ä¬Ú¬ä 10% ¬ä¬Ö¬Ü¬å¬ë¬Ú¬ç ¬°¬© ¬Ú ¬ß¬Ñ 20 ¬ã¬Ö¬Ü¬å¬ß¬Õ ¬á¬â¬Ö¬Ó¬â¬Ñ¬ë¬Ñ¬Ö¬ä¬ã¬ñ ¬Ó ¬Õ¬î¬ñ¬Ó¬à¬İ¬Ñ, ¬ß¬Ñ¬ß¬à¬ã¬ñ [copd]¬æ¬Ú¬Ù¬Ú¬é¬Ö¬ã¬Ü¬Ú¬Û ¬å¬â¬à¬ß[cc] ¬á¬à ¬Ò¬à¬İ¬î¬ê¬à¬Û ¬á¬İ¬à¬ë¬Ñ¬Õ¬Ú.","Zu?ywa 10% posiadanych punktow ?ycia, aby na 20 sekund przeistoczy? si? w diab©©a, na du?ym obszarze zadaj?c [copd]obra?enia fizyczne[cc].",Consomme 10 % des PV actuels pour se transformer en un diable qui inflige des [copd]degats physiques[cc] dans une large zone pendant 20 secondes.
skill/MadRush_2/name,,¸Åµå·¯½Ã,Mad Rush,«Ş«Ã«É«é«Ã«·«å,?ÎÊ??,?ÎÊõúí©,Wahnsinniger Ansturm,Carrera furiosa,Corrida louca,¬¢¬Ö¬Ù¬å¬Ş¬ß¬í¬Û ¬Ò¬â¬à¬ã¬à¬Ü,W?ciek©©y po?piech,Ruee folle
